,cik,list_broad_quantity_E,list_commodity_E,list_competition_E,list_consumer_E,list_elections_P,list_exchange_rate_E,list_financial_crisis_E,list_govt_enterprises_P,list_govt_spending_P,list_healthcare_E,list_inflation_E,list_interest_rates_E,list_invest_sentiment_E,list_ip_E,list_labor_disputes_E,list_labor_markets_E,list_litigation_E,list_monetary_P,list_other_financial_E,list_policy_agri_P,list_policy_food_P,list_policy_trade_P,list_real_estate_E,list_reg_energy_P,list_reg_finance_P,list_reg_generic_P,list_reg_housing_P,list_reg_immigration_P,list_reg_ip_P,list_reg_labor_P,list_reg_lawsuit_P,list_reg_other_P,list_security_P,list_taxes_P,list_trade_E,list_transport_P,list_welfare_P
0,1750,0,3,0,0,2,1,0,0,1,0,0,4,0,0,0,2,1,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,4,2,0,5,0
1,1800,1,1,0,0,0,4,0,0,2,5,2,2,0,12,1,0,6,0,0,0,3,1,0,0,0,27,0,0,0,0,0,0,1,3,0,0,1
2,2098,1,1,0,0,0,4,0,0,1,0,1,5,0,6,1,0,0,2,0,0,0,9,0,0,0,12,0,0,0,0,0,0,1,1,0,0,0
3,2178,1,20,0,0,0,2,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,9,2,22,1,0,0,0,1,0,1,6,0,0,0
4,2186,0,7,0,1,0,1,0,0,2,0,3,0,0,9,0,4,4,0,0,0,0,3,0,0,3,17,0,0,0,0,0,1,4,5,0,0,0
5,2488,0,4,0,2,1,6,0,0,0,0,0,2,0,23,0,2,13,0,0,0,0,5,0,0,6,12,0,0,0,0,0,0,0,14,0,0,0
6,2969,0,8,2,0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,3,0,2,0,30,0,0,0,0,0,0,2,16,0,0,0
7,3146,2,38,6,0,0,0,0,0,0,0,0,4,0,0,0,2,3,2,0,0,0,3,0,5,12,52,0,0,0,0,0,0,0,4,0,0,0
8,3153,0,61,0,0,0,1,0,0,0,0,1,5,0,0,1,5,6,0,0,0,0,3,0,17,2,53,0,0,0,1,1,0,3,8,0,0,0
9,3197,1,13,0,0,0,3,0,0,0,0,0,3,0,5,1,7,7,0,0,0,0,4,0,1,4,25,0,0,0,0,0,0,0,1,0,0,0
10,3453,0,15,1,3,0,2,0,0,0,0,0,2,0,0,2,4,0,1,0,0,0,11,0,3,2,21,0,0,0,1,0,0,5,8,0,0,0
11,3499,0,2,0,1,0,0,0,0,0,0,1,5,0,0,0,1,1,2,2,0,0,0,30,1,0,14,2,0,0,0,0,0,8,29,0,0,0
12,3545,0,3,0,0,0,0,0,0,0,1,4,2,0,0,1,2,1,0,0,0,0,3,4,1,3,17,0,1,0,0,0,0,0,7,0,0,0
13,3570,0,55,6,0,2,0,1,0,1,0,0,3,0,0,3,3,3,2,1,0,0,1,0,12,11,39,0,0,0,1,1,0,3,2,0,0,0
14,4127,0,3,0,0,0,2,0,0,0,0,0,0,0,27,1,2,4,0,0,0,0,7,0,0,2,23,0,1,0,0,0,0,2,16,0,0,0
15,4187,1,21,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0
16,4281,0,23,2,1,4,3,0,0,0,1,3,5,0,11,6,5,10,0,0,0,0,5,1,1,4,39,0,0,0,1,0,0,7,31,0,0,0
17,4447,0,37,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,1,0,0,2,14,0,0,0,0,0,0,1,4,0,0,0
18,4457,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,18,0,0,0,0,0,0,1,7,0,1,0
19,4515,1,9,9,0,11,1,0,0,1,0,1,8,0,6,3,7,5,2,0,0,0,1,0,4,1,53,0,0,0,1,1,0,4,27,0,8,0
20,4904,0,15,0,0,0,0,0,0,0,0,0,8,0,0,1,4,6,2,0,0,0,0,1,19,1,27,0,0,0,0,1,0,1,0,0,0,0
21,4962,1,12,0,2,5,0,0,0,2,0,2,10,3,7,0,3,18,8,0,0,0,1,0,0,9,65,0,0,0,0,0,0,2,10,0,0,0
22,4977,1,7,0,1,0,9,6,0,3,4,1,36,2,1,0,4,9,6,10,0,0,3,0,0,6,47,0,0,0,1,0,0,1,21,0,0,0
23,5272,0,2,0,0,8,2,0,0,0,0,3,21,1,8,0,4,9,2,4,0,0,0,3,0,11,79,0,0,0,2,0,0,5,35,0,0,0
24,5513,0,4,0,3,0,1,0,0,0,1,2,11,1,0,0,3,12,0,7,0,0,0,1,0,9,39,0,0,0,2,0,0,6,8,0,0,5
25,5981,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,16,0,0,0,0,0,1,0,10,0,0,0
26,6176,0,9,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0
27,6281,0,6,2,0,0,2,0,0,2,2,0,2,0,23,0,8,7,0,0,0,0,4,0,0,1,23,0,1,0,0,0,0,1,22,0,0,0
28,6494,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
29,6845,0,5,0,3,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,3,8,0,1,3,0,0,0,1,0,0,0,0,0,0,0
30,6885,0,3,0,5,0,1,0,0,0,1,1,0,0,4,0,4,5,0,0,0,0,1,0,0,2,11,0,0,0,1,0,0,3,5,0,0,0
31,6951,1,9,2,2,0,1,0,0,0,0,0,3,0,20,0,6,6,0,0,0,0,4,0,0,1,22,0,0,0,0,0,0,2,20,0,0,0
32,6955,1,4,1,0,0,2,0,0,0,0,0,0,0,5,1,2,3,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,2,4,0,0,0
33,7039,3,4,1,0,0,0,0,0,0,0,1,7,0,1,0,3,2,0,0,0,0,2,0,2,2,24,0,0,0,1,0,0,3,18,0,0,0
34,7084,0,8,1,0,0,3,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,3,0,0,2,22,0,0,0,0,0,0,3,11,0,0,0
35,7286,0,12,0,0,0,0,0,0,0,3,0,6,0,0,0,4,7,1,0,0,0,1,0,12,4,55,0,0,0,0,0,0,0,0,0,0,0
36,7431,0,4,6,2,0,1,0,0,1,0,2,3,0,6,3,2,6,0,0,0,0,1,1,0,0,18,0,0,0,0,0,0,0,14,0,0,0
37,7536,1,0,1,0,1,0,0,0,1,0,1,1,0,6,0,0,5,0,0,0,0,7,0,0,2,22,0,0,0,0,0,0,1,11,0,0,0
38,7789,11,11,0,0,0,0,1,1,5,0,2,21,0,0,0,5,8,15,14,0,0,1,26,0,19,64,0,0,0,0,0,0,2,19,0,0,0
39,8192,1,29,0,1,0,0,0,0,0,1,0,2,0,0,3,6,2,0,0,0,0,2,1,9,7,75,0,0,0,0,0,0,3,14,0,1,1
40,8328,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
41,8504,0,3,1,1,0,0,0,0,0,0,0,1,0,15,1,1,5,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,1,2,0,5,0
42,8670,0,0,0,0,0,1,0,0,0,2,0,2,0,12,0,5,5,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,6,0,0,1
43,8818,1,5,1,1,2,6,0,0,0,1,1,9,0,14,1,2,5,2,0,0,0,7,0,0,0,30,0,0,0,1,0,0,0,37,0,0,0
44,8858,0,3,0,0,4,4,0,0,0,0,0,1,0,2,0,4,1,0,0,0,0,6,0,0,0,23,0,0,0,0,0,0,1,12,0,0,0
45,8868,4,2,0,6,4,5,0,0,0,1,4,2,0,15,2,6,7,0,0,0,0,1,0,0,1,29,0,1,0,0,0,0,2,17,0,0,0
46,8947,0,12,0,0,0,0,0,0,0,0,2,0,0,0,1,5,2,0,0,0,0,0,0,1,2,15,0,0,0,0,0,0,2,5,0,0,0
47,9092,0,4,0,0,4,1,0,0,2,0,1,0,0,3,1,1,4,0,0,0,0,1,1,0,0,8,0,0,0,1,0,0,0,3,0,0,0
48,9346,1,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,1,0,0,0,0
49,9389,0,10,1,0,0,5,0,0,2,0,0,1,0,1,2,1,2,0,0,0,0,4,0,0,2,24,0,0,0,0,0,0,0,12,0,0,0
50,9984,0,5,0,0,0,6,0,0,3,1,0,5,0,9,5,4,1,0,0,0,0,9,0,0,0,17,0,0,0,0,0,0,6,15,0,1,0
51,10048,1,63,0,0,0,2,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,4,2,8,19,1,0,0,0,0,0,0,9,0,0,0
52,10254,0,123,3,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,2,0,10,13,51,0,0,0,0,1,0,0,15,0,0,0
53,10329,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0
54,10456,0,8,2,0,1,5,0,0,2,27,0,3,0,21,0,1,16,0,0,0,5,0,0,0,1,36,0,0,0,0,0,0,1,28,0,0,3
55,10795,0,6,2,0,2,5,0,0,0,20,0,2,0,12,0,1,11,0,0,0,10,4,0,0,0,24,0,0,0,0,0,0,2,4,0,0,3
56,11199,0,3,1,0,0,5,0,0,0,1,0,5,0,10,0,1,5,0,0,0,0,2,0,0,1,15,0,0,0,0,0,0,1,3,0,0,0
57,11544,2,5,1,0,5,1,0,0,0,0,7,11,0,0,0,0,2,2,0,0,0,0,6,0,8,36,0,0,0,1,1,0,1,6,0,0,0
58,12208,0,5,0,0,3,1,0,0,0,27,1,0,0,8,1,2,3,0,0,0,9,3,1,0,11,44,0,0,1,0,0,0,2,27,0,0,6
59,12239,0,3,0,0,0,0,0,0,0,1,0,0,0,41,0,0,2,0,0,0,1,0,0,0,6,7,0,0,0,0,0,0,1,1,0,0,0
60,12400,1,8,1,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,4,3,32,0,0,0,1,0,0,1,2,0,0,0
61,12659,0,3,0,0,0,1,0,0,0,2,0,0,0,11,0,6,24,0,7,0,0,0,4,0,9,31,0,0,0,1,0,0,1,68,0,0,2
62,12927,1,4,0,0,0,1,0,0,2,0,0,0,0,0,1,5,3,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,8,1,0,2,0
63,13239,0,10,0,0,0,3,0,0,0,2,0,1,0,22,3,4,17,1,0,0,2,3,0,1,1,33,0,0,0,0,0,0,1,11,0,0,0
64,13372,0,12,0,0,0,0,0,0,0,0,0,2,0,0,1,4,3,0,0,0,0,0,0,4,1,21,0,0,0,0,0,0,3,0,0,0,0
65,14177,0,2,0,1,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,3,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0
66,14195,0,6,0,3,7,3,0,0,1,0,1,3,0,2,1,2,2,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,2,7,0,0,0
67,14272,0,7,1,0,0,0,0,0,0,5,0,0,0,24,0,6,11,0,0,0,1,0,0,0,2,26,0,0,0,0,0,0,2,6,0,0,1
68,14693,0,7,0,2,1,6,0,0,0,0,1,1,0,7,0,3,10,0,0,0,0,7,0,0,1,17,0,0,0,0,0,0,1,21,0,0,0
69,14707,0,4,0,4,1,4,0,0,0,0,1,2,0,10,0,2,5,0,1,0,0,4,1,0,0,10,0,0,0,1,0,0,3,6,0,0,0
70,14930,1,8,0,2,1,1,0,0,0,0,2,3,0,9,1,7,4,0,0,0,0,7,0,1,1,20,0,0,0,0,0,1,0,12,0,0,0
71,15847,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,19,0,0,0,0,0,0,5,5,0,7,0
72,16040,1,6,0,0,0,1,0,0,0,0,1,3,0,9,0,0,3,0,0,0,0,2,0,1,0,12,0,0,0,0,0,0,1,6,0,0,0
73,16058,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,4,1,0,0,0
74,16099,0,2,0,5,0,0,0,0,0,9,6,3,0,4,0,8,7,0,1,0,0,0,0,0,1,12,0,0,0,7,0,0,1,4,0,0,0
75,16160,0,3,1,2,0,0,0,0,0,2,0,0,0,5,0,1,3,0,0,1,2,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0
76,16732,3,3,1,1,0,0,0,0,1,0,1,4,0,7,1,2,3,0,0,1,1,3,0,1,0,19,0,0,0,1,0,0,1,2,0,0,0
77,16875,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,1,1,13,0,0,0,1,0,0,4,1,0,0,0
78,16918,0,9,0,3,0,1,0,0,1,0,3,2,0,9,1,2,5,0,0,0,0,3,0,0,4,27,0,0,0,0,0,0,3,18,0,0,0
79,17313,2,1,0,0,4,0,0,0,1,0,0,20,0,0,0,2,10,3,0,0,0,1,0,0,11,24,0,0,0,0,0,0,2,32,0,0,0
80,17843,0,6,0,0,1,1,0,0,0,0,1,0,0,1,0,2,6,0,0,0,0,3,0,1,3,11,0,0,0,0,0,0,2,4,0,0,0
81,18172,0,24,0,0,2,1,0,0,0,0,0,7,0,0,0,3,5,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,5,7,0,0,0
82,18230,3,10,1,1,1,11,0,0,1,0,1,13,1,2,5,3,8,2,0,0,0,5,1,0,3,27,0,0,0,0,0,0,2,13,0,0,0
83,18255,0,4,0,4,0,0,0,0,0,0,0,0,0,5,2,5,10,0,1,0,0,2,1,0,4,21,0,0,1,0,0,0,3,5,0,0,0
84,18654,1,29,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,1,0,19,2,52,0,0,0,0,1,0,3,3,0,0,0
85,18672,1,8,0,1,0,0,0,0,1,0,2,3,0,0,1,7,7,0,0,1,0,4,3,23,0,37,1,0,0,1,3,1,4,10,0,1,0
86,18926,0,7,2,1,3,2,0,0,1,5,4,3,0,12,2,7,17,0,0,0,0,3,0,0,3,86,0,0,0,1,0,10,4,23,0,0,0
87,19446,0,5,1,0,1,2,0,0,0,16,1,0,0,8,0,1,3,0,0,0,8,8,0,2,1,47,0,0,0,0,0,0,1,7,0,0,1
88,19584,0,1,1,0,0,0,0,0,1,41,2,2,0,0,0,11,11,0,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,0,37
89,19617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
90,19745,0,42,0,2,0,0,0,0,0,0,0,3,0,0,2,4,4,0,0,0,0,0,1,6,1,29,0,0,0,0,0,0,5,5,0,0,0
91,20212,0,5,0,4,0,0,0,0,0,0,1,0,0,18,1,6,13,0,0,0,0,0,5,1,0,43,0,0,1,1,1,0,1,13,0,0,0
92,20286,1,8,0,0,6,0,0,0,0,1,2,4,0,0,0,2,2,1,0,0,0,0,0,0,3,23,0,0,0,0,0,0,6,5,0,0,0
93,20639,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,6,0,0,0,0,0,19,0,1,2,0,0,0,0,0,0,2,19,0,0,0
94,21076,0,11,2,0,2,5,0,0,2,2,6,0,0,16,1,6,8,0,0,0,1,5,0,2,2,31,0,0,1,0,0,1,2,15,0,0,0
95,21175,0,1,0,0,0,1,0,0,0,0,4,6,0,0,1,0,0,1,2,0,0,1,0,0,3,22,0,0,0,2,0,0,3,6,0,0,0
96,21344,1,21,0,4,2,5,0,0,0,0,1,4,0,8,5,7,10,0,1,0,0,3,0,0,0,20,0,0,0,0,0,0,1,23,0,0,0
97,21510,1,13,0,2,1,1,0,0,3,0,0,2,0,18,0,2,19,0,0,0,0,8,0,0,6,28,0,0,0,1,0,0,1,29,0,0,0
98,21535,0,2,1,0,0,1,0,0,0,0,0,3,0,6,0,3,4,0,0,0,0,11,0,0,5,14,0,0,0,0,0,0,1,25,0,0,0
99,21665,1,6,3,2,2,2,0,0,0,2,0,3,0,9,2,2,6,0,0,0,2,2,0,1,0,22,0,0,0,0,0,1,2,14,0,0,0
100,22356,0,2,0,1,0,0,0,0,0,0,0,12,0,0,0,2,2,8,3,0,0,0,2,0,1,15,0,0,0,0,0,0,0,0,0,0,0
101,22444,1,57,0,0,0,3,0,0,0,1,0,2,0,1,0,6,11,0,0,0,0,6,2,5,2,28,0,0,0,1,0,0,0,3,0,0,0
102,22701,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,2,2,0,0,0,0,3,0,0,2,6,0,0,0,1,0,0,1,1,0,0,0
103,22872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0
104,23111,0,1,0,0,0,1,0,0,1,9,0,0,0,2,0,1,2,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,16,0,0,2
105,23197,0,10,1,0,2,3,0,0,4,0,1,2,0,26,0,3,17,0,0,0,0,6,0,0,1,42,0,0,0,0,0,10,10,11,0,0,0
106,23217,0,9,1,2,0,0,0,0,0,0,1,5,0,10,1,5,9,0,0,1,2,3,0,2,2,21,0,0,1,1,0,0,1,5,0,0,0
107,23632,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,22,0,0,0,0,0,0,1,4,0,0,0
108,24090,0,2,0,0,0,0,0,0,0,1,0,19,0,0,0,4,6,0,0,0,0,0,2,0,6,63,0,0,0,0,0,0,1,16,0,0,1
109,24491,0,6,0,0,3,4,0,0,0,2,1,8,0,9,2,5,3,0,0,0,0,7,0,0,0,16,0,0,1,0,0,0,2,15,0,0,0
110,24545,1,12,0,0,0,4,0,0,0,0,2,2,0,4,6,8,3,0,0,0,0,6,0,0,0,39,0,0,0,0,0,0,1,22,0,0,0
111,24741,0,10,0,0,0,2,0,0,0,0,0,0,0,15,1,2,8,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,2,18,0,0,0
112,25232,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,28,0,0,6,0,0,0,0,0,0,1,26,0,0,0
113,25445,1,4,0,0,2,3,0,0,3,0,0,1,1,6,0,6,7,2,0,0,0,8,0,1,0,17,0,0,1,0,0,0,2,9,0,0,0
114,25475,0,1,2,0,3,2,0,0,0,5,0,1,0,6,0,7,7,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,10,0,0,0
115,25598,0,7,0,2,0,0,1,0,0,0,0,21,0,0,0,4,15,0,4,0,0,0,30,0,43,56,0,0,0,0,0,0,3,11,0,0,0
116,25743,0,7,3,1,0,0,0,0,3,98,0,0,0,60,0,5,20,0,0,0,70,0,0,0,3,107,0,0,1,0,0,0,1,13,0,0,24
117,25895,1,8,1,0,0,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0,0,0,1,13,0,0,0,0,1,1,0,15,0,0,0
118,26058,2,5,0,0,0,3,0,0,1,0,2,2,0,11,0,1,4,0,0,0,0,1,0,1,5,13,0,0,0,0,0,0,1,8,0,0,0
119,26172,1,8,0,0,5,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,1,0,20,0,0,0,0,0,0,1,12,0,0,0
120,26324,0,2,1,0,0,2,0,0,0,0,1,1,0,9,1,6,2,0,0,0,0,11,0,0,0,23,0,0,1,0,0,0,5,9,0,4,0
121,26780,0,9,0,1,0,1,0,0,0,0,0,7,0,8,0,5,0,0,0,0,0,15,0,1,0,14,0,0,0,0,0,0,4,13,0,1,0
122,27093,0,21,0,0,0,2,0,0,0,0,42,2,0,0,1,2,9,2,0,1,0,1,0,17,5,51,0,0,0,0,1,0,0,10,0,0,0
123,27419,0,4,0,3,0,0,0,0,0,0,0,1,0,2,2,7,6,0,1,0,0,2,0,0,0,9,0,0,0,2,0,0,0,6,0,0,0
124,27430,3,5,0,0,0,0,0,0,0,0,0,8,1,0,1,6,9,0,0,0,0,0,2,5,8,41,0,0,0,0,0,0,2,11,0,0,0
125,27904,0,7,1,0,4,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,2,4,0,1,0
126,27996,0,4,0,2,0,0,0,0,0,0,0,3,2,11,1,5,11,2,0,0,0,0,4,0,0,22,0,0,1,0,1,0,1,6,0,0,0
127,28385,0,6,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,3,0,28,0,0,0,0,0,0,4,4,0,0,0
128,28412,3,4,0,3,0,0,0,0,1,0,1,12,0,1,0,2,7,2,0,0,0,7,5,0,6,44,0,0,0,0,0,0,2,4,0,0,0
129,28917,0,2,0,5,0,0,0,0,0,4,0,1,0,2,1,10,8,0,2,0,0,6,3,0,0,9,0,0,0,2,0,0,5,1,0,0,0
130,29002,0,7,0,0,4,8,0,0,0,0,2,14,0,9,3,5,15,0,0,0,0,15,0,3,2,33,0,0,0,0,0,0,1,33,0,0,0
131,29332,0,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0
132,29534,0,5,0,1,0,1,0,0,1,3,2,2,0,0,2,13,13,0,0,0,0,3,4,0,1,14,0,0,0,3,0,0,2,4,0,0,0
133,29644,0,6,0,0,5,3,0,0,0,0,2,0,0,8,0,1,4,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,1,6,0,0,0
134,29669,1,1,0,0,0,3,0,0,0,1,4,5,0,1,1,6,1,1,0,0,0,3,1,1,0,21,0,0,0,0,0,0,2,24,0,0,0
135,29905,0,7,0,0,1,4,0,0,0,0,0,0,0,7,3,2,5,0,0,0,0,8,0,0,0,8,0,0,0,0,0,1,0,14,0,0,0
136,29915,0,6,0,0,0,1,0,0,0,0,0,1,0,2,0,2,6,0,0,0,0,2,1,0,1,15,0,0,0,0,0,0,2,3,0,0,0
137,29989,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,2,0,0,0
138,30554,0,5,1,0,0,3,0,0,0,0,0,2,1,10,0,0,6,0,0,0,0,1,0,0,0,20,0,0,0,1,0,0,0,5,0,0,0
139,30625,1,16,0,0,4,5,0,0,0,0,0,0,0,11,2,6,7,0,0,0,0,9,0,0,1,29,0,0,0,0,0,0,6,11,0,0,0
140,30697,0,12,0,6,0,0,0,0,0,0,0,2,0,12,0,9,10,0,0,0,0,0,6,0,0,17,0,0,0,5,0,0,1,5,0,0,0
141,30831,0,3,0,0,2,2,0,0,3,1,1,0,0,3,0,3,0,0,0,0,0,6,0,0,11,24,0,0,0,0,0,0,2,7,0,1,0
142,31107,0,1,0,0,0,2,0,0,0,0,1,1,0,3,1,2,6,0,0,0,0,7,0,1,3,10,0,0,0,0,0,0,1,8,0,0,0
143,31791,1,3,1,0,6,5,0,0,0,7,3,2,0,14,0,0,2,0,0,0,2,2,0,0,1,23,0,0,0,0,0,0,0,5,0,0,0
144,32567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,32604,2,4,0,1,0,1,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,1,9,0,0,0
146,32621,1,4,0,1,0,0,0,0,0,0,1,0,0,15,3,0,6,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,4,10,0,0,0
147,33002,1,2,0,0,0,0,0,0,0,1,1,2,0,0,1,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0
148,33185,1,4,1,3,3,5,0,0,0,1,2,7,0,19,0,13,13,1,4,0,0,0,4,0,4,39,0,0,0,0,0,0,2,9,0,0,0
149,33213,0,111,2,0,0,0,0,0,0,0,2,3,0,0,0,2,10,0,0,0,0,1,0,14,5,53,0,0,0,0,2,0,0,18,0,0,0
150,33488,1,0,0,3,1,6,0,0,0,0,2,1,0,10,2,4,7,0,0,0,0,8,0,0,2,18,0,0,0,0,0,1,2,10,0,0,0
151,33992,0,0,0,0,0,0,0,0,0,0,4,6,0,2,0,3,1,1,0,0,0,0,0,0,2,24,0,0,0,0,0,0,1,0,0,0,0
152,34067,1,48,0,0,0,4,0,0,0,0,1,1,0,11,1,2,8,0,0,0,0,10,0,1,2,44,0,0,0,1,0,0,1,15,0,1,0
153,34088,1,19,0,0,0,2,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,2,3,0,0,0
154,34285,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0
155,34563,0,5,0,0,0,0,0,0,0,0,0,4,0,2,3,3,11,0,0,0,0,1,0,0,2,10,0,0,0,2,0,0,2,4,0,0,0
156,34782,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,2,1,3,2,0,0,0,5,0,3,14,0,0,0,0,0,0,0,6,0,0,1
157,34903,0,2,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2,0,1,0,0,0,20,0,1,14,0,0,0,0,0,0,2,23,0,0,0
158,35214,0,4,0,1,0,0,0,0,1,1,0,6,0,9,2,4,7,0,0,0,0,5,0,0,1,21,0,0,0,0,0,0,1,19,0,0,0
159,36047,0,1,0,0,0,0,0,0,0,0,1,5,0,10,0,0,9,0,0,0,0,0,7,0,6,39,0,0,1,0,0,0,0,16,0,0,1
160,36146,5,6,0,1,0,0,1,2,0,0,1,30,0,0,0,2,5,4,4,0,0,0,13,0,9,25,0,0,0,0,0,0,0,2,0,0,0
161,36270,1,3,0,0,0,0,0,1,0,0,0,13,0,0,0,4,5,21,1,0,0,1,8,0,23,41,0,0,0,0,0,0,2,8,0,0,0
162,36377,7,5,1,0,0,0,1,5,2,0,2,38,1,3,0,8,16,13,11,0,0,0,27,0,28,74,0,0,0,0,0,0,6,28,0,0,0
163,36506,1,1,0,2,0,0,1,0,0,0,1,21,0,0,0,1,3,3,2,0,0,0,6,0,3,26,0,0,0,0,0,0,1,9,0,0,0
164,36840,2,0,0,1,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,1,5,0,0,0
165,36966,1,9,0,1,0,2,0,0,2,2,3,28,0,2,0,6,11,15,2,0,0,0,30,0,6,48,0,0,0,0,0,0,1,8,0,0,0
166,37472,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0
167,37634,0,25,0,0,0,0,0,0,0,0,0,3,0,0,2,1,4,0,0,0,0,2,1,4,4,43,0,0,0,0,0,0,1,12,0,0,0
168,37808,0,1,0,0,0,0,0,2,0,0,0,19,0,0,0,2,5,0,9,0,0,0,9,0,19,45,1,0,0,0,0,1,0,16,0,0,0
169,37996,1,3,0,0,4,4,2,0,0,0,0,7,0,1,2,4,7,0,0,0,0,5,0,1,3,22,0,0,0,0,0,0,1,3,0,0,0
170,38009,1,3,0,0,5,4,2,0,0,0,0,6,0,1,2,4,7,1,0,0,0,5,0,1,3,22,0,0,0,0,0,0,1,3,0,1,0
171,38264,0,3,0,0,0,1,0,0,0,2,0,0,0,6,1,0,5,0,0,0,0,8,0,0,3,6,0,0,0,0,0,0,1,0,0,0,0
